Timestamp	Business Name	Contact numbers	Business address	Email address	Web Address	Facebook Address	Service provided	Opening hours	Category	Path	LastUpdate Timestamp	Column 5	Column 6	Column 7	Column 8	Column 9	Column 10	Column 11	Column 12	Column 13	Column 14	Column 15	Column 16	Column 17	Column 18	Column 19	Column 20
07/10/2025 15:31:36	CIBA - Uposohor	0821 2830761, 01732 049404	House 4, Block D, Main Road, Shahjalal Uposhohor, Sylhet						Accountant	ciba-uposohor																	
07/10/2025 15:31:36	School of Accounting & Finance Studies	01711361689	Al-Hamra (6th Floor), Zindabazar, Sylhet						Accountant	school-of-accounting-finance-studies																	
07/10/2025 15:31:36	Amin Accounting Service	01712 523979	Sonatula, Jhornarpar						Accountant	amin-accounting-service																	
07/10/2025 15:31:36	Easy Accounting	01199667788	14 Niloy (3rd floor), Chowhatta						Accountant	easy-accounting																	
07/10/2025 15:31:36	Zaafco Accountants & Tax Consultant	01710904646, 01611504104	38 Raza Mansion (3rd Floor), Zindabazar, Sylhet						Accountant	zaafco-accountants-tax-consultant																	
07/10/2025 15:31:36	Department of Taxes	0821 725432	62 Suvechcha, Housing Estate Road, Sylhet						Accountant	department-of-taxes																	
07/10/2025 15:31:36	Masih Muhith Haque & Co.	+880 821 715685	Sylhet 						Accountant	masih-muhith-haque-co																	
07/10/2025 15:31:36	Mohammad Shaykhul Alam ITP	+880 1717 415131	Shamimabad R/A,Road 1,House 7 						Accountant	mohammad-shaykhul-alam-itp																	
07/10/2025 15:31:36	Manifest Accounting Solutions		Holding #84 Lane 6, Sylhet 						Accountant	manifest-accounting-solutions																	
07/10/2025 15:31:36	Sylhet Center of Accountancy	+880 821 727757	Rahman Tower, Alibagh Tower 3rd Floor, Naiorpool Rd, Sylhet 						Accountant	sylhet-center-of-accountancy																	
07/10/2025 15:31:36	Ahmed Hossain	+880 1716 871187	Sylhet 						Accountant	ahmed-hossain																	
07/10/2025 15:31:36	Isa & Associates	+880 1711 075780	Shahjalal Bridge, Link Road Bishwa Rd, Sylhet 						Accountant	isa-associates																	
07/10/2025 15:31:36	Income Tax Lawyer Ratan Kumar Das	+880 1705 277963	Hanufa Vila, Pustir Goli, Housing Estate Road, Sylhet 						Accountant	income-tax-lawyer-ratan-kumar-das																	
07/10/2025 15:31:36	Office of the Divisional Controler of Accounts, Sylhet	+880 821 724725	80, Sylhet 						Accountant	office-of-the-divisional-controler-of-accounts-sylhet																	
07/10/2025 15:31:36	Adv. Prabhat Debnath - Income Tax Lawyer	+880 1728 190297	Beg Tower 2nd Floor, Naiorpool Rd 						Accountant	adv-prabhat-debnath-income-tax-lawyer																	
07/10/2025 15:31:36	Income Tax & Company Law Advisory Service	+880 1772 119966	5, Midtown Complex, Lamabazar, Sylhet 						Accountant	income-tax-company-law-advisory-service																	
07/10/2025 15:31:36	C & E Architects	0821 719176, 0171301182	Nayasarak, Baruthkhana						Architect	c-e-architects																	
07/10/2025 15:31:36	Engineering Planning Consultancy Team	0821 711225	27/3 Jalalabad						Architect	engineering-planning-consultancy-team																	
07/10/2025 15:31:36	Noksa Construction & Consultancy	01552315105	Khoyrun Bhavan (3rd Floor), Chowhatta						Architect	noksa-construction-consultancy																	
07/10/2025 15:31:36	Sthapona Architect & Engineers	01712661208	Nahar Tower(3rd Floor), Noyashorok						Architect	sthapona-architect-engineers																	
07/10/2025 15:31:36	The World Architects & Engineering	01711829739, 01715262100	Sylhet Millennium (7th floor), Zindabazar						Architect	the-world-architects-engineering																	
07/10/2025 15:31:36	Architects & Consultant	01715262100	806 Sylhet Millennium (7th floor), Zindabazar						Architect	architects-consultant																	
07/10/2025 15:31:36	Architects & Builders	+880 821 717644, +880 821 815233, +8801715298233	Ahsan Monzeel, 22/1 Swaptadeepa R/A, Jamtola						Architect	architects-builders																	
07/10/2025 15:31:36	Core Vista	01715262100	806 Sylhet Millennium ( 7th floor )						Architect	core-vista																	
07/10/2025 15:31:36	H.J Constraction & J.H Enterprise		40 Showdagar Tulla						Architect	hj-constraction-jh-enterprise																	
07/10/2025 15:31:36	Shahjalal Infrastructure Development Limited	0822 656366, 01711455130	33 NGFF Paka Market, Fenchugonj, Sylhet						Architect	shahjalal-infrastructure-development-limited																	
07/10/2025 15:31:36	Next Plan Development	0821 726553	NPDL, House-1/2, Road-1, Block-E, Shahjalal Upashahar, Sylhet						Architect	next-plan-development																	
07/10/2025 15:31:36	Shahjalal Infrastructure Development	0822 656366, 01711455130	33 NGFF Paka Market, Fenchugonj, Sylhet						Architect	shahjalal-infrastructure-development																	
07/10/2025 15:31:36	CubeInBD	+8801722500552	Office no-06, 2nd floor, Nass Shopping Complex, Subhanighat, Sylhet	cubein.eng@gmail.com	https://cubeinbd.com	https://www.facebook.com/Cube.in.engineering/	Architectural Services	9am - 5pm	Architect	cubeinbd																	
07/10/2025 15:31:36	Formosis Architects & Engineers	+880 1716 745075	3rd floor, MS Tower,, Mirboxtula, Sylhet 						Architect	formosis-architects-engineers																	
07/10/2025 15:31:36	Aloy Architects	+880 1749 042242	Rasos 64/B, East Mirabazar, Tamabil Rd, Sylhet 						Architect	aloy-architects																	
07/10/2025 15:31:36	Anika Architect & Structural Design Consultancy	+880 1724 880807	Polytechnic main gate, Technical Rd, Sylhet 						Architect	anika-architect-structural-design-consultancy																	
07/10/2025 15:31:36	Khetro Sthapati	+880 1717 189710	Sylhet Office 2/ 21, Level 2, Eastern Plaza, Sylhet 						Architect	khetro-sthapati																	
07/10/2025 15:31:36	Space Dynamics Architectural Consultants	+880 1716 023757	Space Dynamics Architectural Consultants, Sylhet 						Architect	space-dynamics-architectural-consultants																	
07/10/2025 15:31:36	Nirban Architects	+880 1728 186008	Sylhet 						Architect	nirban-architects																	
07/10/2025 15:31:36	kolpo architects	+880 1747 319653	10,Borobazar, Sylhet 						Architect	kolpo-architects																	
07/10/2025 15:31:36	dCube Architects	+880 1912 435859	111/F, Upper Road, Sylhet 						Architect	dcube-architects																	
07/10/2025 15:31:36	Trope	+880 1762 594954	1 Kumarpara Rd, Sylhet 						Architect	trope																	
07/10/2025 15:31:36	Future Plan Engineering Consultancy	+880 1711 033028	05 Saodagar Tola, Sylhet 						Architect	future-plan-engineering-consultancy																	
07/10/2025 15:31:36	DG Design Group 	+880 1711 485068	2nd Floor, Sohir Plaza, East Zindabazar, Sylhet 						Architect	dg-design-group																	
07/10/2025 15:31:36	Icon Interior & Architect	+880 1777 567679	Dorshon Dewri 						Architect	icon-interior-architect																	
07/10/2025 15:31:36	C & E Architect	+880 1711 335818	411, 3rd Floor, Manru Shopping City, Chowhatta, Sylhet 						Architect	c-e-architect																	
07/10/2025 15:31:36	Creative Architect & Builders	+880 1712 063177	D-3, 1st Floor, Samad Mansion, Upashahar Road, Mendibag, Sylhet 						Architect	creative-architect-builders																	
07/10/2025 15:31:36	Chawani architects & engineers	+880 1714 912091	RP tower,156 mitali,TB gate main road,sylhet,Bangladesh RP tower,156 mitali,TB gate main road, Sylhet 						Architect	chawani-architects-engineers																	
07/10/2025 15:31:36	karigor interior bd	+880 1611 103410	House - 34, karigor interior bd., Block - A Kumarpara Rd, Sylhet 						Architect	karigor-interior-bd																	
07/10/2025 15:31:36	Core Vista Limited	+880 1711 829739	Sylhet Millennium, 806-7TH FLOOR, Sylhet 						Architect	core-vista-limited																	
07/10/2025 15:31:36	Akalpa Architects	+880 1755 492068	Buraiya villa, Jallarpar Rd, Sylhet 						Architect	akalpa-architects																	
07/10/2025 15:31:36	Nirmanik Architects	+880 1717 683634	B-62/2, Nirmanik Architects, Meghna, Sylhet 						Architect	nirmanik-architects																	
07/10/2025 15:31:36	Arc Hub Architects	+880 1716 023757	Raynagor Augpara, Shabak-141, Sylhet 						Architect	arc-hub-architects																	
07/10/2025 15:31:36	Glorious Architect	+880 1711 580499	Sylhet 						Architect	glorious-architect																	
07/10/2025 15:31:36	Ar Fahad Boksh	+880 1681 173077	Sylhet 						Architect	ar-fahad-boksh																	
07/10/2025 15:31:36	Kolpak	+880 1912 820905	2nd Floor, Indiana Heights, Sylhet 						Architect	kolpak																	
07/10/2025 15:31:36	Build Engineers And Architect	+880 1713 809762	House No, Build Engineers And Architect, 13 Rd No 12, Sylhet 						Architect	build-engineers-and-architect																	
07/10/2025 15:31:36	Sthapon Architects	+880 1747 098345	Sylhet Station Club  Rd, Sylhet 						Architect	sthapon-architects																	
07/10/2025 15:31:36	Puspa Builder's & Consultancy	+880 1711 372376	14, 23, Century Shopping Center, Amborkhana, Sylhet 						Architect	puspa-builders-consultancy																	
07/10/2025 15:31:36	Subrata Das & Associates	+880 1719 334997	Excel Tower, 3rd floor, Sylhet 						Architect	subrata-das-associates																	
07/10/2025 15:31:36	Atelier101	+880 1716 784753	Surma Tower, 319 VIP Rd, Sylhet 						Architect	atelier101																	
07/10/2025 15:31:36	K H Architect	+880 1712 100170	23/A, K H Architect, Block-C Main road, Sylhet 						Architect	k-h-architect																	
07/10/2025 15:31:36	Angan	+880 1727 919097	Sylhet 						Architect	angan																	
07/10/2025 15:31:36	Dream House Interior Design	+880 1779 312041	23 Kuarpar Road, Sylhet 						Architect	dream-house-interior-design																	
07/10/2025 15:31:36	Akash Associates	+880 1711 367150	32 Rd No:22, Sylhet 						Architect	akash-associates																	
07/10/2025 15:31:36	Time Architect & Builder's	+880 1712 682427	10-11, Mokbul Tower, Shibgonj Bazar, Shenpara Road, Shibgonj, Sylhet 						Architect	time-architect-builders																	
07/10/2025 15:31:36	Sthapati Tribhuj - Architects & Engineers	+880 1719 351802	Sylhet 						Architect	sthapati-tribhuj-architects-engineers																	
07/10/2025 15:31:36	City Architect & Builders	+880 1710 444966	Bismillah Complex, 2nd Floor, Kanishail Road, Shamimabad, Sylhet 						Architect	city-architect-builders																	
07/10/2025 15:31:36	Palalik Architects	+880 1755 492068	Palalik Architects, Jallarpar Rd, Sylhet 						Architect	palalik-architects																	
07/10/2025 15:31:36	Archteak	+880 1716 107942	601, 5th floor, Westworld shopping city, Sylhet 						Architect	archteak																	
07/10/2025 15:31:36	The Modern Architect & Engineering	+880 1726 080736	The Modern Architect & Engineering, Zakiganj Rd, Sylhet 						Architect	the-modern-architect-engineering																	
07/10/2025 15:31:36	Mamata Construction	+880 1793 377177	Sylhet 						Architect	mamata-construction																	
